method,drop_fraction,seed,round,test_accuracy,test_loss
fedavg_drop,0.0,0,0,0.026752767527675275,3.717174929231678
fedavg_drop,0.0,0,5,0.45202952029520294,2.1295578553298276
fedavg_drop,0.0,0,10,0.5387453874538746,1.6642122388793477
fedavg_drop,0.0,0,15,0.5645756457564576,2.086560754238108
fedavg_drop,0.0,0,20,0.4345018450184502,2.5486549632909203
fedavg_drop,0.0,0,25,0.6162361623616236,1.6198679612085658
fedavg_drop,0.5,0,0,0.026752767527675275,3.717174929231678
fedavg_drop,0.5,0,5,0.466789667896679,1.9477807531195424
fedavg_drop,0.5,0,10,0.13284132841328414,2.9906697546413006
fedavg_drop,0.5,0,15,0.4326568265682657,2.134766729764143
fedavg_drop,0.5,0,20,0.4547970479704797,2.492229784085673
fedavg_drop,0.5,0,25,0.6337638376383764,1.3424421618417264
fedavg_drop,0.9,0,0,0.026752767527675275,3.717174929231678
fedavg_drop,0.9,0,5,0.45295202952029523,2.4076710837401603
fedavg_drop,0.9,0,10,0.39206642066420666,6.50891867375966
fedavg_drop,0.9,0,15,0.4151291512915129,9.28171122157523
fedavg_drop,0.9,0,20,0.4317343173431734,8.122149308079386
fedavg_drop,0.9,0,25,0.43634686346863466,3.8875377118654626
fedprox_mu0,0.0,0,0,0.026752767527675275,3.717174929231678
fedprox_mu0,0.0,0,5,0.45202952029520294,2.1295578553298276
fedprox_mu0,0.0,0,10,0.5387453874538746,1.6642122388793477
fedprox_mu0,0.0,0,15,0.5645756457564576,2.086560754238108
fedprox_mu0,0.0,0,20,0.4345018450184502,2.5486549632909203
fedprox_mu0,0.0,0,25,0.6162361623616236,1.6198679612085658
fedprox_mu0,0.5,0,0,0.026752767527675275,3.717174929231678
fedprox_mu0,0.5,0,5,0.4381918819188192,2.0826119574145725
fedprox_mu0,0.5,0,10,0.5931734317343174,1.3558368618803933
fedprox_mu0,0.5,0,15,0.5719557195571956,1.8917619066462843
fedprox_mu0,0.5,0,20,0.45202952029520294,2.0335508727572114
fedprox_mu0,0.5,0,25,0.5996309963099631,1.6147737405128777
fedprox_mu0,0.9,0,0,0.026752767527675275,3.717174929231678
fedprox_mu0,0.9,0,5,0.43634686346863466,2.1078294276714176
fedprox_mu0,0.9,0,10,0.5867158671586716,1.3580348490542475
fedprox_mu0,0.9,0,15,0.5618081180811808,1.8637563067910115
fedprox_mu0,0.9,0,20,0.4446494464944649,1.9788396790259406
fedprox_mu0,0.9,0,25,0.5913284132841329,1.5655409458204204
fedprox_mu1,0.0,0,0,0.026752767527675275,3.717174929231678
fedprox_mu1,0.0,0,5,0.3404059040590406,1.5811494816714249
fedprox_mu1,0.0,0,10,0.4289667896678967,1.503927503767846
fedprox_mu1,0.0,0,15,0.44095940959409596,1.3446390793073608
fedprox_mu1,0.0,0,20,0.46955719557195574,1.8127289176559191
fedprox_mu1,0.0,0,25,0.5212177121771218,1.077291343850436
fedprox_mu1,0.5,0,0,0.026752767527675275,3.717174929231678
fedprox_mu1,0.5,0,5,0.3376383763837638,1.6095904512089145
fedprox_mu1,0.5,0,10,0.5378228782287823,1.2468660218963605
fedprox_mu1,0.5,0,15,0.5452029520295203,1.2250275725118593
fedprox_mu1,0.5,0,20,0.466789667896679,1.5873822565870186
fedprox_mu1,0.5,0,25,0.5452029520295203,1.0835760121379472
fedprox_mu1,0.9,0,0,0.026752767527675275,3.717174929231678
fedprox_mu1,0.9,0,5,0.3367158671586716,1.6110100011596533
fedprox_mu1,0.9,0,10,0.5387453874538746,1.248827047528688
fedprox_mu1,0.9,0,15,0.5461254612546126,1.2329380110630033
fedprox_mu1,0.9,0,20,0.4621771217712177,1.5597127550002057
fedprox_mu1,0.9,0,25,0.5175276752767528,1.123347093922248
